Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C19, C2, C21, C23, C3, C7",0603,9,1μ,
"C11, C14, C17, C18, C24, C25, C26, C27, C4, C5, C6",0603,11,0.1μ,
"C15, C16",0603,2,22p,
C20,0603,1,2.2μ,
C22,CP_Radial_D12.5mm_P5.00mm,1,1000μ,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123F,9,D,
D10,0603,1,LED,
FB1,0805,1,FerriteBead,
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_01x02_Pin,
J10,PinHeader_1x01_P1.00mm_Vertical,1,V_High,
J11,PinHeader_1x01_P1.00mm_Vertical,1,W_Low,
J12,PinHeader_1x01_P1.00mm_Vertical,1,W_High,
J13,PinHeader_1x01_P1.00mm_Vertical,1,V_Low,
J14,PinHeader_1x01_P1.00mm_Vertical,1,U_Low,
J15,PinHeader_1x01_P1.00mm_Vertical,1,5V,
J16,PinHeader_1x01_P1.00mm_Vertical,1,3.3V,
J17,PinHeader_1x01_P1.00mm_Vertical,1,12V,
J18,TerminalBlock_bornier-3_P5.08mm,1,Screw_Terminal_01x03,
J19,PinHeader_1x01_P1.00mm_Vertical,1,24V,
J2,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
"J20, J21, J22, J23",PinHeader_1x01_P1.00mm_Vertical,4,GND,
J3,PinHeader_2x07_P1.27mm_Vertical,1,Conn_ST_STDC14,
J4,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J5,PinHeader_1x01_P1.00mm_Vertical,1,test,
J6,TestPoint_Pad_D1.5mm,1,U_current,
J7,TestPoint_Pad_D1.5mm,1,V_current,
J8,TestPoint_Pad_D1.5mm,1,W_current,
J9,PinHeader_1x01_P1.00mm_Vertical,1,U_High,
LED1,LED_ROHM_SMLVN6,1,RGB,
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,BSC159N10LSFG,
"R1, R11, R12, R3, R7, R8",0603,6,47k,
"R10, R15, R16, R17, R18, R2, R20, R21, R4, R5, R6, R9",0603,12,10,
"R13, R14, R19",2512,3,0.5m,
"R22, R23, R24, R25, R26, R27, R28",0603,7,10k,
"R29, R30, R31, R32",0603,4,100,
SW1,SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,1,Reset,
"U1, U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,3,IR2302,
U10,TO-252-2,1,L7812,
U11,TO-252-2,1,Regulator_3.3,
U12,TO-252-2,1,Regulator_5.0,
U4,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
"U5, U6, U7",SOT-363_SC-70-6_Handsoldering,3,NCS214,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E-SN,
Y1,Crystal_HC18-U_Vertical,1,16MHz,
