Designator,Mid X,Mid Y,Rotation,Layer
C1,151.18,-113.195,90.0,top
C10,135.92,-102.36,270.0,top
C11,135.8675,-94.545,180.0,top
C12,135.64,-71.865,270.0,top
C14,135.8825,-78.935,180.0,top
C15,172.915,-90.83,180.0,top
C16,169.27,-90.87,0.0,top
C17,136.0375,-109.535,180.0,top
C18,169.085,-79.4,180.0,top
C19,189.505,-95.18,0.0,top
C2,151.11,-98.175,90.0,top
C20,185.315,-117.63,180.0,top
C21,185.315,-119.32,180.0,top
C22,181.57,-71.723959,90.0,top
C23,189.485,-101.82,0.0,top
C24,189.505,-103.31,0.0,top
C25,165.131016,-104.366016,135.0,top
C26,164.293008,-105.218008,135.0,top
C27,177.28,-95.19,0.0,top
C3,150.99,-82.635,90.0,top
C4,155.955,-118.3,180.0,top
C5,155.945,-103.31,180.0,top
C6,155.955,-87.64,180.0,top
C7,135.67,-87.43,270.0,top
D1,155.96,-116.43,0.0,top
D10,181.7725,-106.36,0.0,top
D2,155.96,-101.47,0.0,top
D3,125.94,-88.1,180.0,top
D4,126.0775,-102.97,180.0,top
D5,118.61,-109.26,270.0,top
D6,118.69,-94.29,270.0,top
D7,156.03,-85.78,0.0,top
D8,125.8775,-72.28,180.0,top
D9,118.54,-78.4325,270.0,top
FB1,175.38,-93.58,0.0,top
J1,192.975,-81.43,270.0,top
J10,148.86,-102.92,0.0,top
J11,151.86,-78.06,0.0,top
J12,148.91,-86.64,0.0,top
J13,153.31,-93.18,0.0,top
J14,153.41,-107.39,0.0,top
J15,190.0,-115.92,0.0,top
J16,185.75,-106.33,0.0,top
J17,185.76,-96.2,0.0,top
J18,113.22,-91.83,90.0,top
J19,185.77,-92.12,0.0,top
J2,112.37,-112.065,90.0,top
J20,159.75,-107.36,0.0,top
J21,161.82,-79.62,0.0,top
J22,159.75,-93.21,0.0,top
J23,174.19,-115.9,0.0,top
J3,170.065,-109.955,270.0,top
J4,195.445,-111.76,90.0,top
J5,180.61,-99.34,0.0,top
J9,148.85,-117.89,0.0,top
LED1,181.715,-102.63,0.0,top
Q1,130.47,-108.62,270.0,top
Q2,122.675,-107.86,0.0,top
Q3,130.53,-93.67,270.0,top
Q4,122.785,-92.91,0.0,top
Q5,130.48,-77.935,270.0,top
Q6,122.58,-77.06,0.0,top
R1,148.66,-111.91,0.0,top
R10,148.59,-79.99,180.0,top
R11,148.585,-81.35,0.0,top
R12,148.6,-78.78,0.0,top
R13,130.37,-101.905,270.0,top
R14,130.2,-87.0275,270.0,top
R15,133.655,-86.69,0.0,top
R16,133.805,-101.625,0.0,top
R17,133.8,-103.125,0.0,top
R18,133.655,-88.18,0.0,top
R19,130.135,-71.2825,270.0,top
R2,148.645,-113.15,180.0,top
R20,133.575,-71.11,0.0,top
R21,133.56,-72.6,0.0,top
R22,176.76,-97.77,180.0,top
R23,138.53,-110.0125,270.0,top
R24,138.45,-95.16,270.0,top
R25,138.405,-79.395,270.0,top
R26,160.39,-111.855,270.0,top
R27,160.34,-96.95,270.0,top
R28,160.24,-81.695,270.0,top
R29,177.3625,-106.36,180.0,top
R3,148.655,-109.38,0.0,top
R30,177.38,-103.9,0.0,top
R31,177.365,-102.65,0.0,top
R32,177.355,-101.42,0.0,top
R4,148.655,-110.59,180.0,top
R5,148.695,-98.23,180.0,top
R6,148.695,-95.69,180.0,top
R7,148.695,-97.01,0.0,top
R8,148.69,-94.5,0.0,top
R9,148.595,-82.53,180.0,top
SW1,171.53,-82.41,180.0,top
U1,155.91,-112.51,90.0,top
U10,194.405,-94.385,0.0,top
U11,194.405,-102.395,0.0,top
U12,180.38,-118.32,180.0,top
U2,155.81,-97.6,90.0,top
U3,155.7475,-81.9,90.0,top
U4,169.73,-99.73,180.0,top
U5,135.82,-106.285,270.0,top
U6,135.65,-91.34,270.0,top
U7,135.63,-75.81,270.0,top
U8,187.895,-111.895,270.0,top
Y1,171.4,-87.25,0.0,top
